População = 64, Experimentos = 150
1 threads
Probabilidade, Percentual Infectado
0.110000, 0.013365
0.120000, 0.059981
0.130000, 0.053347
0.140000, 0.099984
0.150000, 0.133326
0.160000, 0.153307
0.170000, 0.206633
0.180000, 0.266654
0.190000, 0.286634
0.200000, 0.359968
0.210000, 0.439955
0.220000, 0.426656
0.230000, 0.479965
0.240000, 0.546630
0.250000, 0.613292
0.260000, 0.606626
0.270000, 0.619971
0.280000, 0.639951
0.290000, 0.599967
0.300000, 0.679981
0.310000, 0.686637
0.320000, 0.733309
0.330000, 0.666640
0.340000, 0.806642
0.350000, 0.826644
0.360000, 0.753319
0.370000, 0.813309
0.380000, 0.833314
0.390000, 0.846649
0.400000, 0.759988
0.410000, 0.866652
0.420000, 0.873320
0.430000, 0.886651
0.440000, 0.879990
0.450000, 0.906657
0.460000, 0.886659
0.470000, 0.919984
0.480000, 0.913324
0.490000, 0.933326
0.500000, 0.926659
0.510000, 0.946660
0.520000, 0.973323
0.530000, 0.953327
0.540000, 0.953324
0.550000, 0.999991
0.560000, 0.966659
0.570000, 0.973327
0.580000, 0.973329
0.590000, 0.959995
0.600000, 0.973330
0.610000, 0.966663
0.620000, 0.973328
0.630000, 0.993328
0.640000, 0.979998
0.650000, 0.979997
0.660000, 0.986663
0.670000, 0.993332
0.680000, 0.999998
0.690000, 0.993332
0.700000, 0.993330
0.710000, 0.993333
0.720000, 0.993331
0.730000, 0.979998
0.740000, 0.993332
0.750000, 0.993332
0.760000, 0.993332
0.770000, 0.999999
0.780000, 0.999999
0.790000, 0.999999
0.800000, 0.999999
0.810000, 0.993332
0.820000, 0.999999
0.830000, 0.999999
0.840000, 0.993333
0.850000, 0.999999
0.860000, 0.999999
0.870000, 1.000000
0.880000, 1.000000
0.890000, 1.000000
0.900000, 1.000000
0.910000, 1.000000
0.920000, 1.000000
0.930000, 1.000000
0.940000, 1.000000
0.950000, 1.000000
0.960000, 1.000000
0.970000, 1.000000
0.980000, 1.000000
0.990000, 1.000000
1.000000, 1.000000
